asset_type,name,project,location,display_name,labels
iam.googleapis.com/WorkloadIdentityPoolProvider,//iam.googleapis.com/projects/192823657524/locations/global/workloadIdentityPools/github-actions/providers/github,projects/192823657524,global,github,
serviceusage.googleapis.com/Service,//serviceusage.googleapis.com/projects/192823657524/services/firestore.googleapis.com,projects/192823657524,global,firestore.googleapis.com,
serviceusage.googleapis.com/Service,//serviceusage.googleapis.com/projects/192823657524/services/gkebackup.googleapis.com,projects/192823657524,global,gkebackup.googleapis.com,
serviceusage.googleapis.com/Service,//serviceusage.googleapis.com/projects/192823657524/services/pubsub.googleapis.com,projects/192823657524,global,pubsub.googleapis.com,
iam.googleapis.com/WorkloadIdentityPool,//iam.googleapis.com/projects/192823657524/locations/global/workloadIdentityPools/github-actions,projects/192823657524,global,github-actions,
container.googleapis.com/NodePool,//container.googleapis.com/projects/live-on-473112/locations/europe-north2/clusters/gke-longevity-primary/nodePools/pool-7,projects/192823657524,europe-north2,pool-7,
serviceusage.googleapis.com/Service,//serviceusage.googleapis.com/projects/192823657524/services/compute.googleapis.com,projects/192823657524,global,compute.googleapis.com,
k8s.io/Pod,//container.googleapis.com/projects/live-on-473112/locations/europe-north2/clusters/gke-longevity-primary/k8s/namespaces/kube-system/pods/gke-system-balloon-pod-mwh7s,projects/192823657524,europe-north2,gke-system-balloon-pod-mwh7s,component=gke-system-balloon-pod
apps.k8s.io/ReplicaSet,//container.googleapis.com/projects/live-on-473112/locations/europe-north2/clusters/gke-longevity-primary/k8s/namespaces/default/apps/replicasets/longevity-app-7c684c45b5,projects/192823657524,europe-north2,longevity-app-7c684c45b5,app=longevity-app;pod-template-hash=7c684c45b5
k8s.io/Pod,//container.googleapis.com/projects/live-on-473112/locations/europe-north2/clusters/gke-longevity-primary/k8s/namespaces/default/pods/longevity-app-7c684c45b5-jx7m8,projects/192823657524,europe-north2,longevity-app-7c684c45b5-jx7m8,app=longevity-app;pod-template-hash=7c684c45b5
artifactregistry.googleapis.com/DockerImage,//artifactregistry.googleapis.com/projects/live-on-473112/locations/europe-north2/repositories/longevity-app/dockerImages/app@sha256:529b92d36920f170bbf2229a730285cb384d69e6008cac2f985acbdb1ce96ff6,projects/192823657524,europe-north2,projects/live-on-473112/locations/europe-north2/repositories/longevity-app/dockerImages/app@sha256:529b92d36920f170bbf2229a730285cb384d69e6008cac2f985acbdb1ce96ff6,
k8s.io/Pod,//container.googleapis.com/projects/live-on-473112/locations/europe-north2/clusters/gke-longevity-primary/k8s/namespaces/kube-system/pods/gke-system-balloon-pod-j2mnv,projects/192823657524,europe-north2,gke-system-balloon-pod-j2mnv,component=gke-system-balloon-pod
apps.k8s.io/ReplicaSet,//container.googleapis.com/projects/live-on-473112/locations/europe-north2/clusters/gke-longevity-primary/k8s/namespaces/default/apps/replicasets/longevity-app-b56c8d45f,projects/192823657524,europe-north2,longevity-app-b56c8d45f,app=longevity-app;pod-template-hash=b56c8d45f
artifactregistry.googleapis.com/DockerImage,//artifactregistry.googleapis.com/projects/live-on-473112/locations/europe-north2/repositories/longevity-app/dockerImages/app@sha256:2fd5aa96c817811a3c772d1b653a1465b7bbe25d7ef450691c418653b5edf689,projects/192823657524,europe-north2,projects/live-on-473112/locations/europe-north2/repositories/longevity-app/dockerImages/app@sha256:2fd5aa96c817811a3c772d1b653a1465b7bbe25d7ef450691c418653b5edf689,
compute.googleapis.com/Route,//compute.googleapis.com/projects/live-on-473112/global/routes/default-route-r-7c52dcfaff79d102,projects/192823657524,global,default-route-r-7c52dcfaff79d102,
apps.k8s.io/ReplicaSet,//container.googleapis.com/projects/live-on-473112/locations/europe-north2/clusters/gke-longevity-primary/k8s/namespaces/default/apps/replicasets/longevity-app-75f8985b54,projects/192823657524,europe-north2,longevity-app-75f8985b54,app=longevity-app;pod-template-hash=75f8985b54
artifactregistry.googleapis.com/DockerImage,//artifactregistry.googleapis.com/projects/live-on-473112/locations/europe-north2/repositories/longevity-app/dockerImages/app@sha256:17cf96943db911de268282c00753f90cdf5d24cf9bbd85969d1156d2c9fdc709,projects/192823657524,europe-north2,projects/live-on-473112/locations/europe-north2/repositories/longevity-app/dockerImages/app@sha256:17cf96943db911de268282c00753f90cdf5d24cf9bbd85969d1156d2c9fdc709,
k8s.io/Pod,//container.googleapis.com/projects/live-on-473112/locations/europe-north2/clusters/gke-longevity-primary/k8s/namespaces/kube-system/pods/gke-system-balloon-pod-krrzn,projects/192823657524,europe-north2,gke-system-balloon-pod-krrzn,component=gke-system-balloon-pod
apps.k8s.io/ReplicaSet,//container.googleapis.com/projects/live-on-473112/locations/europe-north2/clusters/gke-longevity-primary/k8s/namespaces/default/apps/replicasets/longevity-app-75d95579cb,projects/192823657524,europe-north2,longevity-app-75d95579cb,app=longevity-app;pod-template-hash=75d95579cb
artifactregistry.googleapis.com/DockerImage,//artifactregistry.googleapis.com/projects/live-on-473112/locations/europe-north2/repositories/longevity-app/dockerImages/app@sha256:8278fc0447ca0c775511db91b8d9458a2d35138872cbc749085905a6943365b0,projects/192823657524,europe-north2,projects/live-on-473112/locations/europe-north2/repositories/longevity-app/dockerImages/app@sha256:8278fc0447ca0c775511db91b8d9458a2d35138872cbc749085905a6943365b0,
apps.k8s.io/ReplicaSet,//container.googleapis.com/projects/live-on-473112/locations/europe-north2/clusters/gke-longevity-primary/k8s/namespaces/default/apps/replicasets/longevity-app-79dcc9dd7f,projects/192823657524,europe-north2,longevity-app-79dcc9dd7f,app=longevity-app;pod-template-hash=79dcc9dd7f
artifactregistry.googleapis.com/DockerImage,//artifactregistry.googleapis.com/projects/live-on-473112/locations/europe-north2/repositories/longevity-app/dockerImages/app@sha256:ad8d50e7c7511d19a50d983f5faf4df3054594212cd7c797b708325925ee18a5,projects/192823657524,europe-north2,projects/live-on-473112/locations/europe-north2/repositories/longevity-app/dockerImages/app@sha256:ad8d50e7c7511d19a50d983f5faf4df3054594212cd7c797b708325925ee18a5,
apps.k8s.io/ReplicaSet,//container.googleapis.com/projects/live-on-473112/locations/europe-north2/clusters/gke-longevity-primary/k8s/namespaces/default/apps/replicasets/longevity-app-7b6ff9445,projects/192823657524,europe-north2,longevity-app-7b6ff9445,app=longevity-app;pod-template-hash=7b6ff9445
artifactregistry.googleapis.com/DockerImage,//artifactregistry.googleapis.com/projects/live-on-473112/locations/europe-north2/repositories/longevity-app/dockerImages/app@sha256:d94c037c8d0e5347e268ae149367a299b9008d1c9757c456511f3b55870e5824,projects/192823657524,europe-north2,projects/live-on-473112/locations/europe-north2/repositories/longevity-app/dockerImages/app@sha256:d94c037c8d0e5347e268ae149367a299b9008d1c9757c456511f3b55870e5824,
apps.k8s.io/ReplicaSet,//container.googleapis.com/projects/live-on-473112/locations/europe-north2/clusters/gke-longevity-primary/k8s/namespaces/default/apps/replicasets/longevity-app-66fb66c56c,projects/192823657524,europe-north2,longevity-app-66fb66c56c,app=longevity-app;pod-template-hash=66fb66c56c
artifactregistry.googleapis.com/DockerImage,//artifactregistry.googleapis.com/projects/live-on-473112/locations/europe-north2/repositories/longevity-app/dockerImages/app@sha256:7eee0cc06317a1fff5ab1b60e8cbd80fb76ea35dab554ced4344d5ddb4fb388b,projects/192823657524,europe-north2,projects/live-on-473112/locations/europe-north2/repositories/longevity-app/dockerImages/app@sha256:7eee0cc06317a1fff5ab1b60e8cbd80fb76ea35dab554ced4344d5ddb4fb388b,
apps.k8s.io/ReplicaSet,//container.googleapis.com/projects/live-on-473112/locations/europe-north2/clusters/gke-longevity-primary/k8s/namespaces/default/apps/replicasets/longevity-app-77bb6b8d68,projects/192823657524,europe-north2,longevity-app-77bb6b8d68,app=longevity-app;pod-template-hash=77bb6b8d68
artifactregistry.googleapis.com/DockerImage,//artifactregistry.googleapis.com/projects/live-on-473112/locations/europe-north2/repositories/longevity-app/dockerImages/app@sha256:b611d69702fab41938f7d977010604c09ec79f710e009ba5b7b75913d2cce30e,projects/192823657524,europe-north2,projects/live-on-473112/locations/europe-north2/repositories/longevity-app/dockerImages/app@sha256:b611d69702fab41938f7d977010604c09ec79f710e009ba5b7b75913d2cce30e,
apps.k8s.io/ReplicaSet,//container.googleapis.com/projects/live-on-473112/locations/europe-north2/clusters/gke-longevity-primary/k8s/namespaces/default/apps/replicasets/longevity-app-798b6b4487,projects/192823657524,europe-north2,longevity-app-798b6b4487,app=longevity-app;pod-template-hash=798b6b4487
artifactregistry.googleapis.com/DockerImage,//artifactregistry.googleapis.com/projects/live-on-473112/locations/europe-north2/repositories/longevity-app/dockerImages/app@sha256:1296ae9fa5331ef060f6daa2253a4298554bb585e77823d8b6b59b09db86e1f1,projects/192823657524,europe-north2,projects/live-on-473112/locations/europe-north2/repositories/longevity-app/dockerImages/app@sha256:1296ae9fa5331ef060f6daa2253a4298554bb585e77823d8b6b59b09db86e1f1,
apps.k8s.io/ReplicaSet,//container.googleapis.com/projects/live-on-473112/locations/europe-north2/clusters/gke-longevity-primary/k8s/namespaces/default/apps/replicasets/longevity-app-547945bb6,projects/192823657524,europe-north2,longevity-app-547945bb6,app=longevity-app;pod-template-hash=547945bb6
