role,members
roles/artifactregistry.admin,serviceAccount:sa-terraform@live-on-473112.iam.gserviceaccount.com
roles/artifactregistry.reader,serviceAccount:sa-gh-runner@live-on-473112.iam.gserviceaccount.com
roles/artifactregistry.reader,serviceAccount:sa-gke-nodes@live-on-473112.iam.gserviceaccount.com
roles/artifactregistry.serviceAgent,serviceAccount:service-192823657524@gcp-sa-artifactregistry.iam.gserviceaccount.com
roles/artifactregistry.writer,user:stefan.fritz@capgemini.com
roles/cloudasset.serviceAgent,serviceAccount:service-192823657524@gcp-sa-cloudasset.iam.gserviceaccount.com
roles/cloudbuild.builds.builder,serviceAccount:192823657524@cloudbuild.gserviceaccount.com
roles/cloudbuild.serviceAgent,serviceAccount:service-192823657524@gcp-sa-cloudbuild.iam.gserviceaccount.com
roles/compute.serviceAgent,serviceAccount:service-192823657524@compute-system.iam.gserviceaccount.com
roles/container.admin,serviceAccount:sa-terraform@live-on-473112.iam.gserviceaccount.com
roles/container.defaultNodeServiceAgent,serviceAccount:service-192823657524@gcp-sa-gkenode.iam.gserviceaccount.com
roles/container.developer,serviceAccount:sa-gh-runner@live-on-473112.iam.gserviceaccount.com
roles/container.serviceAgent,serviceAccount:service-192823657524@container-engine-robot.iam.gserviceaccount.com
roles/containerregistry.ServiceAgent,serviceAccount:service-192823657524@containerregistry.iam.gserviceaccount.com
roles/datastore.user,serviceAccount:sa-gke-nodes@live-on-473112.iam.gserviceaccount.com
roles/datastore.user,serviceAccount:sa-liveon-app@live-on-473112.iam.gserviceaccount.com
roles/editor,serviceAccount:192823657524-compute@developer.gserviceaccount.com
roles/editor,serviceAccount:192823657524@cloudservices.gserviceaccount.com
roles/firebaserules.system,serviceAccount:service-192823657524@firebase-rules.iam.gserviceaccount.com
roles/firestore.serviceAgent,serviceAccount:service-192823657524@gcp-sa-firestore.iam.gserviceaccount.com
roles/iam.serviceAccountUser,serviceAccount:sa-terraform@live-on-473112.iam.gserviceaccount.com
roles/logging.logWriter,serviceAccount:sa-gh-runner@live-on-473112.iam.gserviceaccount.com
roles/logging.logWriter,serviceAccount:sa-gke-nodes@live-on-473112.iam.gserviceaccount.com
roles/monitoring.metricWriter,serviceAccount:sa-gh-runner@live-on-473112.iam.gserviceaccount.com
roles/monitoring.viewer,serviceAccount:sa-gke-nodes@live-on-473112.iam.gserviceaccount.com
roles/owner,user:stefan.fritz@capgemini.com
roles/pubsub.serviceAgent,serviceAccount:service-192823657524@gcp-sa-pubsub.iam.gserviceaccount.com
roles/resourcemanager.projectIamAdmin,serviceAccount:sa-terraform@live-on-473112.iam.gserviceaccount.com
roles/run.serviceAgent,serviceAccount:service-192823657524@serverless-robot-prod.iam.gserviceaccount.com
roles/secretmanager.secretAccessor,serviceAccount:sa-liveon-app@live-on-473112.iam.gserviceaccount.com
roles/storage.admin,serviceAccount:sa-terraform@live-on-473112.iam.gserviceaccount.com
